Enzyme,EC,type,class,oxygen,
"Benzoate 1,2-dioxygenase",EC:1.14.12.10,activation,Dioxygenases,dependent,
"2-Halobenzoate 1,2-dioxygenase",EC:1.14.12.13,activation,Dioxygenases,dependent,
"Biphenyl 2,3-dioxygenase",EC:1.14.12.18,activation,Dioxygenases,dependent,
4-hydroxyphenylpyruvate dioxygenase,EC:1.13.11.27,activation,Dioxygenases,dependent,
"Phthalate 4,5-dioxygenase",EC:1.14.12.7,activation,Dioxygenases,dependent,
3-phenylpropanoate dioxygenase,EC:1.14.12.19,activation,Dioxygenases,dependent,
PaaA_PaaC,EC:1.14.13.149,activation,Dioxygenases,dependent,
"Limonene 1,2-monooxygenase",EC:1.14.13.107,activation,Monooxygenases,dependent,
"2,4-dichlorophenol 6-monooxygenase",EC:1.14.13.20,activation,Monooxygenases,dependent,
Salicylate 1-monooxygenase,EC:1.14.13.1,activation,Monooxygenases,dependent,
Vanillate monooxygenase,EC:1.14.13.82,activation,Monooxygenases,dependent,
Heme monooxygenase(P450s),PF00067,activation,Monooxygenases,dependent,
4-hydroxybenzoate carboxy-lyase,EC:4.1.1.61,activation,Carboxylation,independent,
Phenylphosphate carboxylase gamma subunit,PF09662,activation,Carboxylation,independent,
Benzylsuccinate synthase,EC:4.1.99.11,activation,Fumarate addition,independent,
Succinyl-CoA:(R)-benzylsuccinate CoA-transferase,EC:2.8.3.15,activation,Fumarate addition,independent,
(R)-benzylsuccinyl-CoA dehydrogenase,EC:1.3.8.3,activation,Fumarate addition,independent,
Succinate dehydrogenase,EC:1.3.5.1,activation,Fumarate addition,independent,
Fumarate_red_D,PF02313,activation,Fumarate addition,independent,
"Protocatechuate 3,4-dioxygenase",EC:1.13.11.3,dearomatization,intradiol ring cleavage,dependent,
"Catechol 1,2-dioxygenase",EC:1.13.11.1,dearomatization,intradiol ring cleavage,dependent,
"Hydroxyquinol 1,2-dioxygenase",EC:1.13.11.37,dearomatization,intradiol ring cleavage,dependent,
"Catechol 2,3-dioxygenase",EC:1.13.11.2,dearomatization,extradiol ring-cleavage,dependent,
"Homogentisate 1,2-dioxygenase",EC:1.13.11.5,dearomatization,extradiol ring-cleavage,dependent,
"Protocatechuate 4,5-dioxygenase alpha chain (ligA)",EC:1.13.11.8,dearomatization,extradiol ring-cleavage,dependent,
"Homoprotocatechuate 2,3-dioxygenase",EC:1.13.11.15,dearomatization,extradiol ring-cleavage,dependent,
"Biphenyl-2,3-diol 1,2-dioxygenase",EC:1.13.11.39,dearomatization,extradiol ring-cleavage,dependent,
"Gentisate 1,2-dioxygenase",EC:1.13.11.4,dearomatization,extradiol ring-cleavage,dependent,
"3-carboxyethylcatechol 2,3-dioxygenase",EC:1.13.11.16,dearomatization,extradiol ring-cleavage,dependent,
"3-Hydroxyanthranilate 3,4-dioxygenase",EC:1.13.11.6,dearomatization,extradiol ring-cleavage,dependent,
"2-hydroxyglutaryl-CoA dehydratase, D-component (HGD-D)",PF06050,dearomatization,ATP-dependent ring cleavage,independent,
"Aldehyde:ferredoxin oxidoreductases (AOR,BamB)",EC:1.2.7.5,dearomatization,ATP-independent ring cleavage,independent,
Formylmethanofuran dehydrogenase,EC:1.2.7.12,methanogenesis,hydrogentrophic,NA,
Formylmethanofuran--tetrahydromethanopterin N-formyltransferase,EC:2.3.1.101,methanogenesis,hydrogentrophic,NA,
Methenyltetrahydromethanopterin cyclohydrolase,EC:3.5.4.27,methanogenesis,hydrogentrophic,NA,
Methylenetetrahydromethanopterin dehydrogenase,EC:1.5.98.1,methanogenesis,hydrogentrophic,NA,
Coenzyme F420 hydrogenase,EC:1.12.98.1,methanogenesis,hydrogentrophic,NA,
Carbon-monoxide dehydrogenase (acceptor),EC:1.2.7.4,methanogenesis,acetoclastic,NA,
Tetrahydromethanopterin S-methyltransferase,EC:2.1.1.86,methanogenesis,hydrogenotrophic and acetotrophic,NA,
Coenzyme-B sulfoethylthiotransferase,EC:2.8.4.1,methanogenesis,hydrogenotrophic and acetotrophic,NA,
CoB--CoM heterodisulfide reductase,EC:1.8.98.1,methanogenesis,hydrogenotrophic and acetotrophic,NA,
Methane monooxygenase,EC:1.14.13.25,methanogenesis,methane oxidation,NA,
