qseqid,sgi,sacc,pident,length,bitscore,evalue,query
Query_1,973103766,KUK61502,88.489,139,262,3.45e-84,hu-genome02ass_00056
Query_1,1055411346,WP_067073819,89.928,139,266,2.33e-83,hu-genome02ass_00056
Query_1,500169822,WP_011844247,88.489,139,264,1.11e-82,hu-genome02ass_00056
Query_1,851322157,WP_048185296,88.489,139,263,2.81e-82,hu-genome02ass_00056
Query_1,1308548268,PKL61873,88.489,139,263,3.82e-82,hu-genome02ass_00056
Query_1,973161090,KUL01311,88.489,139,262,7.02e-82,hu-genome02ass_00056
Query_1,851218868,WP_048113132,87.05,139,259,6.46e-81,hu-genome02ass_00056
Query_1,1123827754,WP_074370311,87.05,139,259,1.32e-80,hu-genome02ass_00056
Query_1,504680001,WP_014867103,84.892,139,252,4.24e-78,hu-genome02ass_00056
Query_1,1011349460,WP_062263335,84.892,139,252,4.67e-78,hu-genome02ass_00056
Query_1,851218868,WP_048113132,96.403,139,284,3.14e-90,hu-genome02ass_00512
Query_1,973103766,KUK61502,92.086,139,277,4.8e-90,hu-genome02ass_00512
Query_1,851322157,WP_048185296,95.683,139,283,8.32e-90,hu-genome02ass_00512
Query_1,500169822,WP_011844247,93.525,139,281,4.92e-89,hu-genome02ass_00512
Query_1,1055411346,WP_067073819,92.806,139,278,3.97e-88,hu-genome02ass_00512
Query_1,1308548268,PKL61873,92.086,139,278,7.39e-88,hu-genome02ass_00512
Query_1,973161090,KUL01311,92.086,139,276,2.25e-87,hu-genome02ass_00512
Query_1,1123827754,WP_074370311,90.647,139,271,1.43e-85,hu-genome02ass_00512
Query_1,1011349460,WP_062263335,87.77,139,259,1.25e-80,hu-genome02ass_00512
Query_1,504680001,WP_014867103,87.77,139,259,1.38e-80,hu-genome02ass_00512
Query_1,1308538260,PKL55814,91.892,111,199,3.92e-59,hu-genome02ass_01634
Query_1,1055411350,WP_067073823,91.892,111,202,1.45e-58,hu-genome02ass_01634
Query_1,851322159,WP_048185298,90.09,111,199,2.09e-57,hu-genome02ass_01634
Query_1,500169823,WP_011844248,89.189,111,199,2.13e-57,hu-genome02ass_01634
Query_1,1123827755,WP_074370312,92.381,105,197,5.34e-57,hu-genome02ass_01634
Query_1,1308548267,PKL61872,90.991,111,195,3.96e-56,hu-genome02ass_01634
Query_1,973161091,KUL01312,90.991,111,192,3.04e-55,hu-genome02ass_01634
Query_1,1055291266,WP_066958262,88.571,105,186,9.3e-53,hu-genome02ass_01634
Query_1,1011349463,WP_062263338,88.462,104,183,9.1e-52,hu-genome02ass_01634
Query_1,504680002,WP_014867104,89.216,102,181,7.23e-51,hu-genome02ass_01634
Query_1,973095469,KUK54883,95.82,311,593,0,hu-genome10ass_00334
Query_1,1101106645,OIO65136,69.872,312,469,1.42e-159,hu-genome10ass_00334
Query_1,931356537,KPJ49006,69.775,311,463,1.36e-157,hu-genome10ass_00334
Query_1,1278505448,PJA26880,68.71,310,462,6.91e-157,hu-genome10ass_00334
Query_1,1082980519,OGC85025,70.096,311,462,8.58e-157,hu-genome10ass_00334
Query_1,1404731416,PZN89599,71.795,312,448,4.45e-155,hu-genome10ass_00334
Query_1,931523988,KPL01371,71.383,311,446,7.71e-154,hu-genome10ass_00334
Query_1,503606019,WP_013840095,72.204,313,452,2.85e-153,hu-genome10ass_00334
Query_1,1176140351,OQX59068,70.874,309,441,2.29e-152,hu-genome10ass_00334
Query_1,1225688396,WP_093690320,72.168,309,448,1.23e-151,hu-genome10ass_00334
Query_1,973095470,KUK54884,97.101,138,263,8.49e-81,hu-genome10ass_00684
Query_1,1111736769,OJJ23220,60.274,146,160,1.12e-42,hu-genome10ass_00684
Query_1,1404690509,PZN52322,55.97,134,144,3.72e-41,hu-genome10ass_00684
Query_1,1232717248,OYZ45677,55.396,139,147,2.19e-40,hu-genome10ass_00684
Query_1,980203404,CUS86207,56.391,133,143,3.16e-40,hu-genome10ass_00684
Query_1,488789326,WP_002701733,62.698,126,152,3.5e-40,hu-genome10ass_00684
Query_1,1219365481,WP_089380785,57.353,136,152,3.69e-40,hu-genome10ass_00684
Query_1,1299997428,WP_100803940,55.245,143,152,3.84e-40,hu-genome10ass_00684
Query_1,1274385969,WP_099572932,55.862,145,152,4.43e-40,hu-genome10ass_00684
Query_1,1200432085,OUV48587,54.861,144,146,5.91e-40,hu-genome10ass_00684
Query_1,973114552,KUK70572,94.118,238,455,2.83e-153,hu-genome24ass_01209
Query_1,1308538260,PKL55814,74.775,222,329,4.45e-107,hu-genome24ass_01209
Query_1,973161091,KUL01312,74.775,222,329,1.99e-104,hu-genome24ass_01209
Query_1,1308548267,PKL61872,73.478,230,329,2.19e-104,hu-genome24ass_01209
Query_1,851322159,WP_048185298,72.973,222,328,4.07e-104,hu-genome24ass_01209
Query_1,1055411350,WP_067073823,72.174,230,327,1.23e-103,hu-genome24ass_01209
Query_1,1055291266,WP_066958262,72.523,222,325,5.95e-103,hu-genome24ass_01209
Query_1,1011349463,WP_062263338,73.973,219,325,7.38e-103,hu-genome24ass_01209
Query_1,500169823,WP_011844248,72.072,222,324,1.86e-102,hu-genome24ass_01209
Query_1,973103765,KUK61501,76.056,213,321,1.3e-101,hu-genome24ass_01209
Query_1,1308538260,PKL55814,91.892,111,199,3.92e-59,hu-genome30ass_00354
Query_1,1055411350,WP_067073823,91.892,111,202,1.45e-58,hu-genome30ass_00354
Query_1,851322159,WP_048185298,90.09,111,199,2.09e-57,hu-genome30ass_00354
Query_1,500169823,WP_011844248,89.189,111,199,2.13e-57,hu-genome30ass_00354
Query_1,1123827755,WP_074370312,92.381,105,197,5.34e-57,hu-genome30ass_00354
Query_1,1308548267,PKL61872,90.991,111,195,3.96e-56,hu-genome30ass_00354
Query_1,973161091,KUL01312,90.991,111,192,3.04e-55,hu-genome30ass_00354
Query_1,1055291266,WP_066958262,88.571,105,186,9.3e-53,hu-genome30ass_00354
Query_1,1011349463,WP_062263338,88.462,104,183,9.1e-52,hu-genome30ass_00354
Query_1,504680002,WP_014867104,89.216,102,181,7.23e-51,hu-genome30ass_00354
Query_1,851218868,WP_048113132,96.403,139,284,3.14e-90,hu-genome30ass_00407
Query_1,973103766,KUK61502,92.086,139,277,4.8e-90,hu-genome30ass_00407
Query_1,851322157,WP_048185296,95.683,139,283,8.32e-90,hu-genome30ass_00407
Query_1,500169822,WP_011844247,93.525,139,281,4.92e-89,hu-genome30ass_00407
Query_1,1055411346,WP_067073819,92.806,139,278,3.97e-88,hu-genome30ass_00407
Query_1,1308548268,PKL61873,92.086,139,278,7.39e-88,hu-genome30ass_00407
Query_1,973161090,KUL01311,92.086,139,276,2.25e-87,hu-genome30ass_00407
Query_1,1123827754,WP_074370311,90.647,139,271,1.43e-85,hu-genome30ass_00407
Query_1,1011349460,WP_062263335,87.77,139,259,1.25e-80,hu-genome30ass_00407
Query_1,504680001,WP_014867103,87.77,139,259,1.38e-80,hu-genome30ass_00407
Query_1,973103766,KUK61502,88.489,139,262,3.45e-84,hu-genome30ass_01119
Query_1,1055411346,WP_067073819,89.928,139,266,2.33e-83,hu-genome30ass_01119
Query_1,500169822,WP_011844247,88.489,139,264,1.11e-82,hu-genome30ass_01119
Query_1,851322157,WP_048185296,88.489,139,263,2.81e-82,hu-genome30ass_01119
Query_1,1308548268,PKL61873,88.489,139,263,3.82e-82,hu-genome30ass_01119
Query_1,973161090,KUL01311,88.489,139,262,7.02e-82,hu-genome30ass_01119
Query_1,851218868,WP_048113132,87.05,139,259,6.46e-81,hu-genome30ass_01119
Query_1,1123827754,WP_074370311,87.05,139,259,1.32e-80,hu-genome30ass_01119
Query_1,504680001,WP_014867103,84.892,139,252,4.24e-78,hu-genome30ass_01119
Query_1,1011349460,WP_062263335,84.892,139,252,4.67e-78,hu-genome30ass_01119
Query_1,973095469,KUK54883,95.82,311,593,0,hu-genome35ass_00010
Query_1,1101106645,OIO65136,69.872,312,469,1.42e-159,hu-genome35ass_00010
